[conftest] api-key env isolation active (python=3.13.14)
============================= test session starts =============================
platform win32 -- Python 3.13.14, pytest-9.1.1, pluggy-1.6.0 -- AppData\Local\Programs\Python\Python313\python.exe
rootdir: .openclaw\workspace\promethean
configfile: pyproject.toml
plugins: anyio-4.14.0, asyncio-1.4.0, cov-7.1.0
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 73 items

tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_default_base_url PASSED [  1%]
tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_default_model PASSED [  2%]
tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_default_timeout PASSED [  4%]
tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_default_max_tokens PASSED [  5%]
tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_env_override PASSED [  6%]
tests/test_v1324_asi_5gap_real_llm.py::TestConfig::test_config_to_dict PASSED [  8%]
tests/test_v1324_asi_5gap_real_llm.py::TestRealLLMClient::test_construction_with_key PASSED [  9%]
tests/test_v1324_asi_5gap_real_llm.py::TestRealLLMClient::test_construction_no_key PASSED [ 10%]
tests/test_v1324_asi_5gap_real_llm.py::TestRealLLMClient::test_construction_env_key PASSED [ 12%]
tests/test_v1324_asi_5gap_real_llm.py::TestRealLLMClient::test_no_chat_when_unconfigured PASSED [ 13%]
tests/test_v1324_asi_5gap_real_llm.py::TestRealLLMClient::test_probe_when_unconfigured PASSED [ 15%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_basic PASSED [ 16%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_with_spaces PASSED [ 17%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_with_surrounding_text PASSED [ 19%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_with_code_fence PASSED [ 20%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_with_code_fence_and_lang PASSED [ 21%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_only_three_returns_none PASSED [ 23%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_empty_returns_none PASSED [ 24%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_no_numbers_returns_none PASSED [ 26%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_clamps_to_unit_interval PASSED [ 27%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_more_than_5_takes_first_5 PASSED [ 28%]
tests/test_v1324_asi_5gap_real_llm.py::TestParse5GapResponse::test_int_floats_accepted PASSED [ 30%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_perfect_positive PASSED [ 31%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_perfect_negative PASSED [ 32%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_constant_returns_zero PASSED [ 34%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_empty_returns_zero PASSED [ 35%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_one_element_returns_zero PASSED [ 36%]
tests/test_v1324_asi_5gap_real_llm.py::TestPearson::test_mismatched_lengths PASSED [ 38%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_empty_query_no_chat_call PASSED [ 39%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_minimal_query_with_unconfigured PASSED [ 41%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_normal_query_with_fake PASSED [ 42%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_fake_failure_returns_fallback PASSED [ 43%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_parse_failure_returns_fallback_with_chat_ok PASSED [ 45%]
tests/test_v1324_asi_5gap_real_llm.py::TestLLMGapScorer::test_total_tokens_property PASSED [ 46%]
tests/test_v1324_asi_5gap_real_llm.py::TestProbeAndValidate::test_with_fake_configured PASSED [ 47%]
