"full_name","description","language","stars","html_url","created_at","pushed_at"
"NawfalMotii79/PLFM_RADAR","Open-source, low-cost 10.5 GHz PLFM phased array RADAR system","PLSQL","22941","https://github.com/NawfalMotii79/PLFM_RADAR","2026-03-08T23:20:58Z","2026-06-17T02:44:52Z"
"YintaTriss/AgentMemory","交响乐技能家族 - 顶尖闭环记忆系统","Python","1","https://github.com/YintaTriss/AgentMemory","2026-05-17T08:02:57Z","2026-07-19T14:10:43Z"
"lioensky/VCPToolBox","VCP 部署在 AI 模型 API 与前端应用之间，是面向AGI OS开发和探索的工业级基建示范项目。通过统一指令协议、多层级持久化记忆、分布式插件引擎及多 Agent 协作框架，将原本“无状态、无记忆、无工具调用能力”的大语言模型，彻底改造成拥有永久自我意识、物理世界操作权及群体协作智能的完整智能体系统。","JavaScript","2194","https://github.com/lioensky/VCPToolBox","2025-05-12T13:51:06Z","2026-07-20T01:46:44Z"
"410979729/scope-recall-hermes","Hermes Agent memory plugin/provider for scope-aware recall, SQLite truth, LanceDB semantic search, and hybrid retrieval.","Python","182","https://github.com/410979729/scope-recall-hermes","2026-05-15T10:56:00Z","2026-07-18T15:29:28Z"
"MiniMax-AI/OpenRoom","A browser-based desktop where AI Agent operates every app through natural language.","TypeScript","1235","https://github.com/MiniMax-AI/OpenRoom","2026-03-03T04:01:01Z","2026-06-03T23:15:42Z"
"YintaTriss/AgentSymphony",,"Python","2","https://github.com/YintaTriss/AgentSymphony","2026-05-17T07:54:53Z","2026-05-29T10:38:36Z"
"YintaTriss/Agent-superthinking",,"Python","3","https://github.com/YintaTriss/Agent-superthinking","2026-05-16T11:29:28Z","2026-07-14T14:29:08Z"
"YintaTriss/AgentTeam","Production-ready multi-agent swarm coordination — Built for OpenClaw","Python","3","https://github.com/YintaTriss/AgentTeam","2026-05-02T08:11:41Z","2026-07-19T14:03:00Z"
"multica-ai/andrej-karpathy-skills","A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",,"194515","https://github.com/multica-ai/andrej-karpathy-skills","2026-01-27T03:53:13Z","2026-04-20T10:05:04Z"
"sindresorhus/awesome","😎 Awesome lists about all kinds of interesting topics",,"486848","https://github.com/sindresorhus/awesome","2014-07-11T13:42:37Z","2026-06-30T18:21:16Z"
"TauricResearch/TradingAgents","TradingAgents: Multi-Agents LLM Financial Trading Framework","Python","93750","https://github.com/TauricResearch/TradingAgents","2024-12-28T03:31:08Z","2026-07-18T15:55:05Z"
"HKUDS/RAG-Anything","""RAG-Anything: All-in-One RAG Framework""","Python","22298","https://github.com/HKUDS/RAG-Anything","2025-06-06T06:47:29Z","2026-07-09T16:33:19Z"
"Z4nzu/hackingtool","ALL IN ONE Hacking Tool For Hackers","Python","78369","https://github.com/Z4nzu/hackingtool","2020-04-11T09:21:31Z","2026-03-15T14:33:08Z"
"thedotmack/claude-mem","Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More","JavaScript","87915","https://github.com/thedotmack/claude-mem","2025-08-31T20:50:03Z","2026-07-19T07:34:01Z"
"NousResearch/hermes-agent","The agent that grows with you","Python","217464","https://github.com/NousResearch/hermes-agent","2025-07-22T22:22:28Z","2026-07-20T08:40:26Z"
"harness/harness","Harness Open Source is an end-to-end developer platform with Source Control Management, CI/CD Pipelines, Hosted Developer Environments, and Artifact Registries.","Go","37408","https://github.com/harness/harness","2014-02-07T07:54:44Z","2026-07-15T10:03:20Z"
"HKUDS/OpenHarness","""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""","Python","14943","https://github.com/HKUDS/OpenHarness","2026-04-01T15:37:13Z","2026-06-04T02:42:40Z"
"win4r/ClawTeam-OpenClaw","ClawTeam fork fully adapted for OpenClaw — multi-agent swarm coordination with OpenClaw as the default agent","Python","1426","https://github.com/win4r/ClawTeam-OpenClaw","2026-03-18T09:52:54Z","2026-07-03T18:24:33Z"
"alchaincyf/deepseek-v4-deep-dive","DeepSeek V4 深度解读 · 73 页 PPT + 20 分钟讲稿 + 发布动画 · Designed with huashu-design","HTML","259","https://github.com/alchaincyf/deepseek-v4-deep-dive","2026-04-24T09:44:00Z","2026-04-24T10:17:48Z"
"wei9966/SpectrAI","光谱AI (SpectrAI) — 开源多会话 AI 编程桌面客户端，支持 Claude/Codex/Gemini 多 Provider 并行，内置 MCP 工具网关、技能模板、文件管理、Git 面板与终端。官网地址：https://www.spectraidev.com/","TypeScript","106","https://github.com/wei9966/SpectrAI","2026-04-04T08:42:36Z","2026-04-04T08:48:37Z"
"HKUDS/ClawTeam","""ClawTeam: Agent Swarm Intelligence"" (One Command → Full Automation)","Python","5402","https://github.com/HKUDS/ClawTeam","2026-03-17T14:42:46Z","2026-05-09T07:25:56Z"
"alexanderwanyoike/the0","Open Source Algorithmic Trading Engine","TypeScript","282","https://github.com/alexanderwanyoike/the0","2025-08-04T18:04:55Z","2026-07-19T20:37:18Z"
"freqtrade/freqtrade","Free, open source crypto trading bot","Python","52462","https://github.com/freqtrade/freqtrade","2017-05-17T23:48:53Z","2026-07-20T05:55:35Z"
"TradeMaster-NTU/TradeMaster","TradeMaster is an open-source platform for quantitative trading empowered by reinforcement learning :fire: :zap: :rainbow:","Jupyter Notebook","2936","https://github.com/TradeMaster-NTU/TradeMaster","2022-08-23T13:02:43Z","2025-06-04T03:57:56Z"
"StockSharp/StockSharp","Algorithmic trading and quantitative trading open source platform to develop trading robots (stock markets, forex, crypto, bitcoins, and options).","C#","10368","https://github.com/StockSharp/StockSharp","2014-12-08T07:53:44Z","2026-07-20T08:12:48Z"
"vnpy/vnpy","基于Python的开源量化交易平台开发框架","Python","43154","https://github.com/vnpy/vnpy","2015-03-02T03:36:58Z","2026-05-17T08:05:41Z"
"HKUDS/AI-Trader","""AI-Trader: 100% Fully-Automated Agent-Native Trading""  ","Python","20926","https://github.com/HKUDS/AI-Trader","2025-10-23T12:45:00Z","2026-06-11T09:26:03Z"
"marketcalls/openalgo","Open Source Algo Trading Platform for Everyone","Python","2289","https://github.com/marketcalls/openalgo","2024-02-19T14:55:38Z","2026-07-20T08:42:06Z"
"rmbell09-lang/tradesight","Self-hosted Python strategy research and Alpaca paper trading with broker reconciliation, evidence gates, and live execution disabled.","Python","159","https://github.com/rmbell09-lang/tradesight","2026-03-18T19:14:58Z","2026-07-15T00:10:25Z"
"OpenByteInc/QuantDinger","AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading","Python","9804","https://github.com/OpenByteInc/QuantDinger","2025-12-28T18:39:26Z","2026-07-19T18:58:24Z"
"iamzhihuix/skills-manage","Desktop app to manage AI coding agent skills across Claude Code, Cursor, Gemini CLI, Codex, and 20+ platforms from one place.","TypeScript","2116","https://github.com/iamzhihuix/skills-manage","2026-04-13T05:03:06Z","2026-05-02T14:01:06Z"
"EvoMap/evolver","The GEP-powered self-evolving engine for AI agents. Auditable evolution with Genes, Capsules, and Events. | evomap.ai","JavaScript","8870","https://github.com/EvoMap/evolver","2026-02-01T05:59:24Z","2026-07-17T15:22:48Z"
"shiyu-coder/Kronos","Kronos: A Foundation Model for the Language of Financial Markets","Python","32260","https://github.com/shiyu-coder/Kronos","2025-07-01T02:54:32Z","2026-04-13T12:38:49Z"
"hacksider/Deep-Live-Cam","real time face swap and one-click video deepfake with only a single image","Python","95006","https://github.com/hacksider/Deep-Live-Cam","2023-09-24T13:19:31Z","2026-07-19T07:12:49Z"
"JOYCEQL/magic-resume","free online AI resume editor，the only official website is  https://magicv.art","TypeScript","8796","https://github.com/JOYCEQL/magic-resume","2024-05-19T11:13:58Z","2026-06-15T15:56:37Z"
"opendataloader-project/opendataloader-pdf","PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.","Java","27506","https://github.com/opendataloader-project/opendataloader-pdf","2025-05-13T05:48:02Z","2026-07-20T08:44:08Z"
"asksurf-ai/surf-skills","Give your AI agent access to all crypto data — prices, wallets, social, on-chain, prediction markets. One skill, 83+ endpoints.",,"72","https://github.com/asksurf-ai/surf-skills","2026-02-25T07:44:36Z","2026-07-13T07:51:27Z"
"alchaincyf/zhangxuefeng-skill","张雪峰.skill — 张雪峰的认知操作系统。高考志愿/考研/职业规划的实战思维框架。由女娲.skill生成。",,"9959","https://github.com/alchaincyf/zhangxuefeng-skill","2026-04-05T11:37:18Z","2026-05-28T00:10:21Z"
